03-Aug-13 - Matchday 1		Tall. Cba	2-2 	Sarmiento		Echenique
03-Aug-13		Ferro	2-2 	B. Unidos		Penel
03-Aug-13		Indepte	1-2 	Brown		Maglio
04-Aug-13		Union	1-0 	S. Carlos		Suarez
04-Aug-13		Def y Jus	1-0 	Patronato		González, M
04-Aug-13		D.Haig	1-0 	Instituto		Montero
04-Aug-13		S.M. SJ	3-0 	Aldosivi		Baliño
04-Aug-13		Sp.Belgr	1-0 	Indp Rvia		Merlos
04-Aug-13		Gsia.Jujuy	0-1 	Atl. Tuc		Paletta
05-Aug-13		AlteBrown	1-1 	Banfield		Loustau, P
05-Aug-13		Crucero	1-0 	Huracan		Trucco
09-Aug-13 - Matchday 2 		Sarmiento	1-0 	Union		Rapallini
12-Aug-13		Brown	1-3 	Def y Jus		Castro, A
13-Aug-13		S. Carlos	1-2 	AlteBrown		Tello
13-Aug-13		Huracan	1-0 	Sp.Belgr		Argañaraz
13-Aug-13		Aldosivi	0-1 	Ferro		Possi
13-Aug-13		Banfield	2-0 	Crucero		Suarez
13-Aug-13		Indp Rvia	0-0 	Gsia.Jujuy	González, M
13-Aug-13		Patronato	0-0 	Instituto	Giannini
13-Aug-13		Atl. Tuc	1-0 	S.M. SJ		Echenique
14-Aug-13		Tall. Cba	1-1 	D.Haig		Baliño
14-Aug-13		B. Unidos	0-0 	Indepte		Díaz, P
17-Aug-13 - Matchday 3		Union	1-1 	Tall. Cba		González, M
17-Aug-13		Indepte	2-2 	Aldosivi		Giannini
17-Aug-13		Gsia.Jujuy	1-0 	Huracan		Castro, A
18-Aug-13		Sp.Belgr	3-1 	Banfield		Paletta
18-Aug-13		Def y Jus	2-0 	B. Unidos		López Aldazábal
18-Aug-13		Ferro	2-0 	Atl. Tuc		Baliño
18-Aug-13		AlteBrown	2-4 	Sarmiento		Herrera
18-Aug-13		D.Haig	0-2 	Patronato		Penel
18-Aug-13		Crucero	1-1 	S. Carlos		Sabino
19-Aug-13		S.M. SJ	4-3 	Indp Rvia		Ceballos, D
19-Aug-13		Instituto	2-1 	Brown		Tello
24-Aug-13 - Matchday 4		Sarmiento	0-0 	Crucero		Lamolina, N
24-Aug-13		S. Carlos	0-2 	Sp.Belgr		Merlos
24-Aug-13		Aldosivi	1-2 	Def y Jus		Montero
24-Aug-13		Banfield	2-0 	Gsia.Jujuy		Maglio
24-Aug-13		Atl. Tuc	2-1 	Indepte		Vigliano, M
25-Aug-13		Huracan	2-0 	S.M. SJ		Alvarez, L
25-Aug-13		Brown	1-0 	Patronato		Córdoba
25-Aug-13		Union	1-1 	D.Haig		Laverni
25-Aug-13		Indp Rvia	0-0 	Ferro		Tello
25-Aug-13		B. Unidos	1-1 	Instituto		Possi
26-Aug-13		Tall. Cba	0-1 	AlteBrown		López, R
30-Aug-13 - Matchday 5		Instituto	1-1 	Aldosivi		González, M
30-Aug-13		Ferro	1-2 	Huracan		Argañaraz
30-Aug-13		Def y Jus	1-0 	Atl. Tuc		Suarez
31-Aug-13		AlteBrown	0-1 	Union		Rapallini
31-Aug-13		S.M. SJ	0-3 	Banfield		Díaz, P
01-Sep-13		Sp.Belgr	0-2 	Sarmiento		Castro, A
01-Sep-13		Gsia.Jujuy	0-0 	S. Carlos		López Aldazábal
01-Sep-13		D.Haig	1-0 	Brown		Paletta
01-Sep-13		Patronato	1-0 	B. Unidos		Sabino
01-Sep-13		Crucero	1-0 	Tall. Cba		Penel
01-Sep-13		Indepte	0-0 	Indp Rvia		Pompei
06-Sep-13 - Matchday 6		AlteBrown	0-0 	D.Haig		Sabino
07-Sep-13		Sarmiento	0-1 	Gsia.Jujuy		Alvarez, L
08-Sep-13		Tall. Cba	1-0 	Sp.Belgr		Lamolina, N
08-Sep-13		S. Carlos	1-1 	S.M. SJ		Argañaraz
08-Sep-13		Union	1-0 	Crucero		López, R
08-Sep-13		Atl. Tuc	2-2 	Instituto		Tello
08-Sep-13		B. Unidos	2-0 	Brown		Penel
08-Sep-13		Banfield	3-0 	Ferro		Castro, A
09-Sep-13		Indp Rvia	1-1 	Def y Jus		Baliño
09-Sep-13		Aldosivi	0-0 	Patronato		López Aldazábal
09-Sep-13		Huracan	0-1 	Indepte		Pezzotta
13-Sep-13 - Matchday 7		Brown	1-1 	Aldosivi		Sabino
13-Sep-13		Gsia.Jujuy	1-2 	Tall. Cba		Delfino
14-Sep-13		D.Haig	0-0 	B. Unidos		Rapallini
14-Sep-13		Ferro	0-0 	S. Carlos		Tello
14-Sep-13		S.M. SJ	2-0 	Sarmiento		Paletta
14-Sep-13		Sp.Belgr	1-1 	Union		Possi
14-Sep-13		Indepte	1-1 	Banfield		Laverni
14-Sep-13		Def y Jus	1-0 	Huracan		Abal
14-Sep-13		Patronato	0-1 	Atl. Tuc	González, M
14-Sep-13		Instituto	2-2 	Indp Rvia	Suarez
14-Sep-13		Crucero	2-0 	AlteBrown		Merlos
17-Sep-13 - Matchday 8		Union	1-3 	Gsia.Jujuy		Castro, A
17-Sep-13		Banfield	3-0 	Def y Jus		Lamolina, N
18-Sep-13		AlteBrown	0-1 	Sp.Belgr		Argañaraz
18-Sep-13		S. Carlos	0-1 	Indepte		Pompei
18-Sep-13		Huracan	1-3 	Instituto		Díaz, P
18-Sep-13		Aldosivi	2-2 	B. Unidos		López, R
18-Sep-13		Sarmiento	4-1 	Ferro		Maglio
18-Sep-13		Crucero	2-0 	D.Haig		López Aldazábal
18-Sep-13		Atl. Tuc	0-0 	Brown		Baliño
18-Sep-13		Indp Rvia	1-1 	Patronato		Herrera
19-Sep-13		Tall. Cba	1-0 	S.M. SJ		Tello
21-Sep-13 - Matchday 9		Gsia.Jujuy	3-0 	AlteBrown		Díaz, P
21-Sep-13		Def y Jus	2-1 	S. Carlos		González, M
21-Sep-13		Instituto	1-2 	Banfield		Abal
22-Sep-13		Sp.Belgr	0-0 	Crucero		Delfino
22-Sep-13		Patronato	2-0 	Huracan		Argañaraz
22-Sep-13		B. Unidos	1-1 	Atl. Tuc		Maglio
23-Sep-13		Brown	0-1 	Indp Rvia		Giannini
23-Sep-13		Ferro	1-1 	Tall. Cba		Rapallini
23-Sep-13		Indepte	2-1 	Sarmiento		Castro, A
23-Sep-13		D.Haig	1-1 	Aldosivi		Suarez
23-Sep-13		S.M. SJ	1-1 	Union		Merlos
28-Sep-13 - Matchday 10		Banfield	2-0 	Patronato		Vigliano, P
28-Sep-13		Tall. Cba	2-2 	Indepte		Pezzotta
29-Sep-13		AlteBrown	0-0 	S.M. SJ		Lamolina, N
29-Sep-13		Union	3-2 	Ferro		Herrera
29-Sep-13		S. Carlos	1-3 	Instituto		López, R
29-Sep-13		Sp.Belgr	2-0 	D.Haig		Giannini
29-Sep-13		Crucero	2-0 	Gsia.Jujuy		Tello
29-Sep-13		Atl. Tuc	2-0 	Aldosivi		Córdoba
